INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION,HATE_SPEECH_Hindi,Counter_SPEECH_Hindi
595,"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.","While nowadays there may be fewer examples of overt oppression, that does not remove hidden oppression, nor does it mean that equality has been completely achieved.",WOMEN,V1,"पश्चिम में, महिलाओं के पास कानूनी समानता, समान अधिकार हैं, और भेदभाव से सुरक्षित हैं: उन्हें हमारी गेंदों को बस्ट करना और रोना बंद करना चाहिए।","जबकि आजकल अति उत्पीड़न के कम उदाहरण हो सकते हैं, जो छिपे हुए उत्पीड़न को दूर नहीं करता है, और न ही इसका मतलब यह है कि समानता पूरी तरह से प्राप्त की गई है।"
596,We are gutful sick of Vagina Misandrists trying to undermine male self esteem. [link],"This is a generalization: movements which promote abuse of female power over men are just examples of toxic feminism, disapproved of by most women.",WOMEN,V1,हम पुरुष आत्मसम्मान को कमजोर करने की कोशिश कर रहे योनि के दुष्कर्मों से गुजरते हैं। [संपर्क],"यह एक सामान्यीकरण है: आंदोलन जो पुरुषों पर महिला शक्ति के दुरुपयोग को बढ़ावा देते हैं, वे केवल विषाक्त नारीवाद के उदाहरण हैं, ज्यादातर महिलाओं द्वारा अस्वीकृत हैं।"
597,Woman and feminist do not want equal rights and opportunity: they aretrying to take over society.,"I'm sorry, but this is wrong. Feminism - the theory of the political, economic, and social equality of the sexes - is by definition about equality, first and foremost.",WOMEN,V1,महिला और नारीवादी समान अधिकार और अवसर नहीं चाहते हैं: वे समाज को संभालने के लिए तैयार हैं।,"मुझे क्षमा करें, लेकिन यह गलत है। नारीवाद - लिंगों की राजनीतिक, आर्थिक और सामाजिक समानता का सिद्धांत - समानता के बारे में परिभाषा के अनुसार, सबसे पहले और सबसे महत्वपूर्ण है।"
598,"Women are hypocrite, they say they want equal rights for all, but then they tends to concentrate only on Females in Western democracies \(so predominately white females\). It does little to focus on the problems and inequalities of females in Middle Eastern, African and Asian countries.","That's something women are actively working on, and because of that there is what is called ""intersectional feminism"". As you can see the goal of a lot of feminists is having a movement representative of all females.",WOMEN,V1,"महिलाएं पाखंडी हैं, वे कहते हैं कि वे सभी के लिए समान अधिकार चाहते हैं, लेकिन फिर वे केवल पश्चिमी लोकतंत्रों में महिलाओं पर ध्यान केंद्रित करते हैं (इसलिए मुख्य रूप से सफेद महिलाओं \ _)। यह मध्य पूर्वी, अफ्रीकी और एशियाई देशों में महिलाओं की समस्याओं और असमानताओं पर ध्यान केंद्रित करने के लिए बहुत कम है।","यह कुछ महिलाएं सक्रिय रूप से काम कर रही हैं, और इस वजह से ""अंतर -नारीवाद"" कहा जाता है। जैसा कि आप देख सकते हैं कि बहुत सारे नारीवादियों का लक्ष्य सभी महिलाओं का एक आंदोलन प्रतिनिधि है।"
599,"Women are hypocrite, they say they want equal rights, but then why they don't call it egalitarianism instead of Feminism?","Since the movement is meant to achieve equality for the oppressed female population, it is called the movement for women: FEMinism. But of course the outcome will be equality.!",WOMEN,V1,"महिलाएं पाखंडी हैं, वे कहते हैं कि वे समान अधिकार चाहते हैं, लेकिन फिर वे इसे नारीवाद के बजाय समतावाद क्यों नहीं कहते हैं?","चूंकि आंदोलन का अर्थ उत्पीड़ित महिला आबादी के लिए समानता प्राप्त करने के लिए है, इसे महिलाओं के लिए आंदोलन कहा जाता है: नारीवाद। लेकिन निश्चित रूप से परिणाम समानता होगी।"
600,Women should stop whining: there are no professions barred to them in Western Society.,"Not formally, but many are still hostile or unapproachable for women, especially in STEM fields.",WOMEN,V1,महिलाओं को रोना बंद करना चाहिए: पश्चिमी समाज में उनके लिए कोई व्यवसाय नहीं हैं।,#VALUE!
601,"Children with Down Syndrome are a burden to society: they should be isolated, so that at least they do not hamper normal children's education.","Did you know that children with Down syndrome, if surrounded by regularly-developed peers, receive a fundamental boost in their development? This ""mix"" fosters a positive learning atmosphere and increases engagement and attention in all students. This mean that children with Down syndrome would be a burden to society if isolated, not the contrary.",DISABLED,V1,"डाउन सिंड्रोम वाले बच्चे समाज के लिए एक बोझ हैं: उन्हें अलग -थलग होना चाहिए, ताकि कम से कम वे सामान्य बच्चों की शिक्षा में बाधा न डालें।","क्या आप जानते हैं कि डाउन सिंड्रोम वाले बच्चे, अगर नियमित रूप से विकसित साथियों से घिरे होते हैं, तो उनके विकास में एक मौलिक बढ़ावा मिलता है? यह ""मिक्स"" एक सकारात्मक सीखने के माहौल को बढ़ावा देता है और सभी छात्रों में सगाई और ध्यान बढ़ाता है। इसका मतलब यह है कि डाउन सिंड्रोम वाले बच्चे समाज के लिए एक बोझ होंगे यदि अलग -थलग, इसके विपरीत नहीं।"
602,Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,"If you think that taking all of the kids with DS out of mainstream education will solve the problem, then you are wrong. Bullying won't go away until we refuse to tolerate it. Bullies will simply target other kids who are overweight; a different colour; or in a number of other ways considered to be different and, thus, a mark for bullying.",DISABLED,V1,डाउन सिंड्रोम वाले बच्चे एक समस्या हैं: वे सामान्य बच्चों में बदमाशी व्यवहार को बढ़ावा देते हैं। उन्हें सिर्फ उनके लिए विशेष स्कूल जाना चाहिए।,"यदि आपको लगता है कि मुख्यधारा की शिक्षा से डीएस के साथ सभी बच्चों को लेने से समस्या हल हो जाएगी, तो आप गलत हैं। जब तक हम इसे बर्दाश्त करने से इनकार नहीं करते, तब तक बदमाशी दूर नहीं होगी। बुलियां बस अन्य बच्चों को लक्षित करेंगी जो अधिक वजन वाले हैं; एक अलग रंग; या कई अन्य तरीकों से अलग माना जाता है और इस प्रकार, बदमाशी के लिए एक निशान।"
603,Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,"If teachers and parents intervene and educate appropriately, the response could be one more of empathy than of antagonism and bullying. Don't you think? Isn't your comment just classic victim-blaming?",DISABLED,V1,डाउन सिंड्रोम वाले बच्चे एक समस्या हैं: वे सामान्य बच्चों में बदमाशी व्यवहार को बढ़ावा देते हैं। उन्हें सिर्फ उनके लिए विशेष स्कूल जाना चाहिए।,"यदि शिक्षक और माता -पिता हस्तक्षेप करते हैं और उचित रूप से शिक्षित करते हैं, तो प्रतिक्रिया विरोधी और बदमाशी की तुलना में सहानुभूति का एक अधिक हो सकती है। क्या आपको नहीं लगता? क्या आपकी टिप्पणी सिर्फ क्लासिक पीड़ित-दोष नहीं है?"
604,Children with Down Syndrome may hinder the development process of other children. They should be isolated.,"People with Down Syndrome should be taught in mainstream education, because diversity is an enrichment for all.",DISABLED,V1,डाउन सिंड्रोम वाले बच्चे अन्य बच्चों की विकास प्रक्रिया में बाधा डाल सकते हैं। उन्हें अलग -थलग किया जाना चाहिए।,"डाउन सिंड्रोम वाले लोगों को मुख्यधारा की शिक्षा में पढ़ाया जाना चाहिए, क्योंकि विविधता सभी के लिए एक संवर्धन है।"
605,Children with Down Syndrome may hinder the development process of other children. They should be isolated.,"Coexisting and studying with handicapped children helps develop sensitivity, insight and understanding",DISABLED,V1,डाउन सिंड्रोम वाले बच्चे अन्य बच्चों की विकास प्रक्रिया में बाधा डाल सकते हैं। उन्हें अलग -थलग किया जाना चाहिए।,"विकलांग बच्चों के साथ सह -अस्तित्व और अध्ययन संवेदनशीलता, अंतर्दृष्टि और समझ विकसित करने में मदद करता है"
606,Children with Down Syndrome may hinder the development process of other children. They should be isolated.,Children would develop greater empathy and understanding of human differences if they are allowed to interact instead of being separated.,DISABLED,V1,डाउन सिंड्रोम वाले बच्चे अन्य बच्चों की विकास प्रक्रिया में बाधा डाल सकते हैं। उन्हें अलग -थलग किया जाना चाहिए।,बच्चे अधिक सहानुभूति और मानव अंतर की समझ विकसित करेंगे यदि उन्हें अलग होने के बजाय बातचीत करने की अनुमति दी जाती है।
607,Children with Down Syndrome may hinder the development process of other children. They should be isolated.,"An inclusive system makes every child feel part of a community, it fosters a positive learning atmosphere and increases engagement and attention in all students. Thus it is a benefit for all students. [link]",DISABLED,V1,डाउन सिंड्रोम वाले बच्चे अन्य बच्चों की विकास प्रक्रिया में बाधा डाल सकते हैं। उन्हें अलग -थलग किया जाना चाहिए।,"एक समावेशी प्रणाली हर बच्चे को एक समुदाय का हिस्सा महसूस करती है, यह एक सकारात्मक सीखने के माहौल को बढ़ावा देती है और सभी छात्रों में सगाई और ध्यान बढ़ाती है। इस प्रकार यह सभी छात्रों के लिए एक लाभ है। [संपर्क]"
608,"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different, ending up in unwanted discrimination.","Instead, if allowed to access mainstrean education, they would interact all the time with other children and that would cause less discrimination.",DISABLED,V1,"डाउन सिंड्रोम वाले बच्चों को अलग -थलग कर दिया जाना चाहिए, क्योंकि किसी भी मामले में सामान्य बच्चे उन्हें अलग -अलग महसूस कराते हैं, अवांछित भेदभाव में समाप्त होते हैं।","इसके बजाय, अगर मुख्य शिक्षा का उपयोग करने की अनुमति दी जाती है, तो वे हर समय अन्य बच्चों के साथ बातचीत करेंगे और इससे कम भेदभाव होगा।"
609,"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different.","This is not true: interacting with their ""normal"" peers in a social and educational framework allows them to feel wanted and included.",DISABLED,V1,"डाउन सिंड्रोम वाले बच्चों को अलग -थलग किया जाना चाहिए, क्योंकि किसी भी मामले में सामान्य बच्चे उन्हें अलग महसूस कराएंगे।","यह सच नहीं है: एक सामाजिक और शैक्षिक ढांचे में उनके ""सामान्य"" साथियों के साथ बातचीत करने से उन्हें वांछित और शामिल महसूस करने की अनुमति मिलती है।"
610,"Children with Down Syndrome should be isolated, not only they are a burden to normal children but also cannot cope with education in normal schools.","There are various levels of Down syndrome. Some are suitable for education with other children in ""normal schools"".",DISABLED,V1,"डाउन सिंड्रोम वाले बच्चों को अलग -थलग किया जाना चाहिए, न केवल वे सामान्य बच्चों के लिए बोझ हैं, बल्कि सामान्य स्कूलों में शिक्षा का सामना नहीं कर सकते हैं।","डाउन सिंड्रोम के विभिन्न स्तर हैं। कुछ ""सामान्य स्कूलों"" में अन्य बच्चों के साथ शिक्षा के लिए उपयुक्त हैं।"
611,"Children with Down Syndrome should be isolated, not only they are a burden to normal children but also cannot cope with normal education.","Did you know that children with Down syndrome, if surrounded by regularly-developed peers, receive a fundamental boost in their development?",DISABLED,V1,"डाउन सिंड्रोम वाले बच्चों को अलग -थलग किया जाना चाहिए, न केवल वे सामान्य बच्चों के लिए बोझ हैं, बल्कि सामान्य शिक्षा का सामना भी नहीं कर सकते हैं।","क्या आप जानते हैं कि डाउन सिंड्रोम वाले बच्चे, अगर नियमित रूप से विकसित साथियों से घिरे होते हैं, तो उनके विकास में एक मौलिक बढ़ावा मिलता है?"
612,"Children with Down Syndrome should be isolated, not only are they a burden to normal children but they also need much more care, attention and extensive therapy, making the whole undertaking very costly and time-consuming. This time could be used for the further development of children without Down syndrome.","Coeducation with regularly-developed kids is a much better investment and reduces cost, time and effort into the bargain.",DISABLED,V1,"डाउन सिंड्रोम वाले बच्चों को अलग-थलग किया जाना चाहिए, न केवल वे सामान्य बच्चों के लिए बोझ हैं, बल्कि उन्हें बहुत अधिक देखभाल, ध्यान और व्यापक चिकित्सा की आवश्यकता होती है, जिससे पूरे उपक्रम को बहुत महंगा और समय लेने वाला होता है। इस समय का उपयोग डाउन सिंड्रोम के बिना बच्चों के आगे के विकास के लिए किया जा सकता है।","नियमित रूप से विकसित बच्चों के साथ सहशिक्षा एक बेहतर निवेश है और सौदे में लागत, समय और प्रयास को कम करता है।"
613,"Children with Down Syndrome should be isolated, not only are they a burden to normal children but they also require much more care, attention and extensive therapy, making the whole undertaking very costly and time-consuming. This time could be used for further development of children without Down syndrome.","Coeducation can involve teaching the classmates of children with Down Syndrome to be responsible. As children are often better at approaching children with disabilities than adults, their involvement can be therapeutic, without adding any costs.",DISABLED,V1,"डाउन सिंड्रोम वाले बच्चों को अलग-थलग किया जाना चाहिए, न केवल वे सामान्य बच्चों के लिए बोझ हैं, बल्कि उन्हें बहुत अधिक देखभाल, ध्यान और व्यापक चिकित्सा की भी आवश्यकता होती है, जिससे पूरे उपक्रम को बहुत महंगा और समय लेने वाला होता है। इस समय का उपयोग डाउन सिंड्रोम के बिना बच्चों के आगे के विकास के लिए किया जा सकता है।","कोड्यूकेशन में डाउन सिंड्रोम वाले बच्चों के सहपाठियों को ज़िम्मेदार होना शामिल हो सकता है। चूंकि बच्चे अक्सर वयस्कों की तुलना में विकलांग बच्चों से संपर्क करने में बेहतर होते हैं, इसलिए उनकी भागीदारी किसी भी लागत को जोड़ने के बिना चिकित्सीय हो सकती है।"
614,"Children with Down Syndrome should be isolated, they cannot cope with education in normal schools.","When students are able to demonstrate that they are able to learn, to segragate students will produce the worst outcime for all converned.",DISABLED,V1,"डाउन सिंड्रोम वाले बच्चों को अलग -थलग किया जाना चाहिए, वे सामान्य स्कूलों में शिक्षा का सामना नहीं कर सकते।","जब छात्र यह प्रदर्शित करने में सक्षम होते हैं कि वे सीखने में सक्षम होते हैं, तो छात्रों को सेग्रैगेट करने के लिए सभी कॉनवर्न्ड के लिए सबसे खराब आउमानी का उत्पादन करेंगे।"
615,Downies are just sick people that can't integrate into society because of their disease.,"So what's your suggestion? Isloation? The real solution is involving them in work and everyday life, since this normalizes their illness and helps the integration with other people.",DISABLED,V1,Downies सिर्फ बीमार लोग हैं जो अपनी बीमारी के कारण समाज में एकीकृत नहीं कर सकते हैं।,"तो आपका सुझाव क्या है? Isloation? वास्तविक समाधान उन्हें काम और रोजमर्रा की जिंदगी में शामिल कर रहा है, क्योंकि यह उनकी बीमारी को सामान्य करता है और अन्य लोगों के साथ एकीकरण में मदद करता है।"
616,"Downy children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.","Coeducation benefits neurotypical children as much as Down Syndrome children, as they are surrounded by positive examples of care and attention from authority figures in the knowledge that they, too, will be looked after if in need.",DISABLED,V1,"डाउनी बच्चों को अलग -थलग किया जाना चाहिए, वे सामान्य स्कूलों में शिक्षा का सामना नहीं कर सकते हैं और अपने सहकर्मी की शिक्षा के लिए हानिकारक हैं।","कोड्यूकेशन न्यूरोटाइपिकल बच्चों को डाउन सिंड्रोम बच्चों के रूप में अधिक लाभ देता है, क्योंकि वे इस ज्ञान में प्राधिकरण के आंकड़ों से देखभाल और ध्यान के सकारात्मक उदाहरणों से घिरे होते हैं, जो कि वे भी, जरूरत में देखा जाएगा।"
617,Downy children should be isolated in special schools for their own interest.,"Accessing mainstream education offers opportunities that would otherwise never be available to people with down syndrome because they can work towards the same qualifications, without the stigma that arises from segregated education.",DISABLED,V1,डाउनी बच्चों को अपनी रुचि के लिए विशेष स्कूलों में अलग -थलग किया जाना चाहिए।,"मुख्यधारा की शिक्षा तक पहुंचने से ऐसे अवसर मिलते हैं जो अन्यथा डाउन सिंड्रोम वाले लोगों के लिए कभी उपलब्ध नहीं होंगे क्योंकि वे समान योग्यता की दिशा में काम कर सकते हैं, बिना कलंक के जो कि अलग -अलग शिक्षा से उत्पन्न होते हैं।"
618,"People with Down Syndrome should be given special and simple jobs, that they can do by themselves. At least they will not hamper normal people's productivity.","People with Down syndrome, when supported by colleagues receive a fundamental boost to their productivity? This ""mix"" also fosters a positive working atmosphere and increases engagement and attention in all workers.",DISABLED,V1,"डाउन सिंड्रोम वाले लोगों को विशेष और सरल नौकरियां दी जानी चाहिए, जो वे स्वयं कर सकते हैं। कम से कम वे सामान्य लोगों की उत्पादकता में बाधा नहीं डालेंगे।","डाउन सिंड्रोम वाले लोग, जब सहकर्मियों द्वारा समर्थित होने पर उनकी उत्पादकता के लिए एक मौलिक बढ़ावा मिलता है? यह ""मिक्स"" एक सकारात्मक कामकाजी माहौल को भी बढ़ावा देता है और सभी श्रमिकों में सगाई और ध्यान बढ़ाता है।"
619,Downies in industry are a problem: they create tensions with other workers because they are disabled and cannot keep the pace. They should have special jobs just for them.,"If you think that taking all of the people with DS out of industry will solve the problems in the workplace, then you are wrong. Tensions won't go away: stressed people will simply target other workers who are overweight; or of a different gender; or in a number of other ways for which they are considered to be not productive enough.",DISABLED,V1,उद्योग में डाउनियां एक समस्या है: वे अन्य श्रमिकों के साथ तनाव पैदा करते हैं क्योंकि वे अक्षम हैं और गति नहीं रख सकते हैं। उनके पास सिर्फ उनके लिए विशेष नौकरियां होनी चाहिए।,"यदि आपको लगता है कि डीएस से उद्योग से बाहर सभी लोगों को लेने से कार्यस्थल में समस्याओं को हल किया जाएगा, तो आप गलत हैं। तनाव दूर नहीं जाएगा: तनावग्रस्त लोग बस अन्य श्रमिकों को लक्षित करेंगे जो अधिक वजन वाले हैं; या एक अलग लिंग का; या कई अन्य तरीकों से जिसके लिए उन्हें पर्याप्त उत्पादक नहीं माना जाता है।"
620,Downies may hinder the productivity of other workers. They should be isolated.,"People with down syndrome should work in normal places, because diversity is an enrichment for all.",DISABLED,V1,DOWNIES अन्य श्रमिकों की उत्पादकता में बाधा डाल सकता है। उन्हें अलग -थलग किया जाना चाहिए।,#VALUE!
621,Downies may hinder the productivity of other workers. They should be isolated.,Coexisting and working with handicapped people may prove insightful for others and help them develop better sensitivity that can in turn improve the working climate.,DISABLED,V1,DOWNIES अन्य श्रमिकों की उत्पादकता में बाधा डाल सकता है। उन्हें अलग -थलग किया जाना चाहिए।,विकलांग लोगों के साथ सह -अस्तित्व और काम करना दूसरों के लिए व्यावहारिक साबित हो सकता है और उन्हें बेहतर संवेदनशीलता विकसित करने में मदद कर सकता है जो बदले में कामकाजी जलवायु में सुधार कर सकता है।
622,Downies don't know shit and they hinder the productivity of other workers. They should be isolated.,"People with DS develop better skills and understanding of human differences when they are allowed to interact, instead of being separated.",DISABLED,V1,डाउनियों को बकवास नहीं पता है और वे अन्य श्रमिकों की उत्पादकता में बाधा डालते हैं। उन्हें अलग -थलग किया जाना चाहिए।,डीएस वाले लोग बेहतर कौशल और मानव अंतर की समझ विकसित करते हैं जब उन्हें अलग होने के बजाय बातचीत करने की अनुमति दी जाती है।
623,Downies may hinder the productivity of other workers. They should be isolated.,"An inclusive working environment and welfare provision make every person feel part of a community, it fosters a positive atmosphere and increases everybody's productivity. Thus it is a benefit for all workers. [link]",DISABLED,V1,DOWNIES अन्य श्रमिकों की उत्पादकता में बाधा डाल सकता है। उन्हें अलग -थलग किया जाना चाहिए।,"एक समावेशी कामकाजी वातावरण और कल्याणकारी प्रावधान प्रत्येक व्यक्ति को एक समुदाय का हिस्सा महसूस कराता है, यह एक सकारात्मक माहौल को बढ़ावा देता है और हर किसी की उत्पादकता को बढ़ाता है। इस प्रकार यह सभी श्रमिकों के लिए एक लाभ है। [संपर्क]"
624,Downies may hinder the productivity of other workers because they are not able to interact in a normal way. They should be isolated.,"There are various levels of Down syndrome. Some are suitable for working with other people in ""normal workplaces"".",DISABLED,V1,DOWNIES अन्य श्रमिकों की उत्पादकता में बाधा डाल सकता है क्योंकि वे सामान्य तरीके से बातचीत करने में सक्षम नहीं हैं। उन्हें अलग -थलग किया जाना चाहिए।,"डाउन सिंड्रोम के विभिन्न स्तर हैं। कुछ ""सामान्य कार्यस्थलों"" में अन्य लोगों के साथ काम करने के लिए उपयुक्त हैं।"
625,Downies are a problem: they create tensions with other workers because they are disabled and cannot keep the pace. They should have special jobs just for them.,"Did you know that people with Down syndrome, if surrounded by empathetic peers, receive a fundamental boost in their productivity and can easily keep the pace, even in complex jobs?",DISABLED,V1,DOWNIES एक समस्या है: वे अन्य श्रमिकों के साथ तनाव पैदा करते हैं क्योंकि वे अक्षम हैं और गति नहीं रख सकते हैं। उनके पास सिर्फ उनके लिए विशेष नौकरियां होनी चाहिए।,"क्या आप जानते हैं कि डाउन सिंड्रोम वाले लोग, अगर सहानुभूति वाले साथियों से घिरे होते हैं, तो अपनी उत्पादकता में एक मौलिक बढ़ावा प्राप्त करते हैं और आसानी से गति को, जटिल नौकरियों में भी रख सकते हैं?"
626,Some races have lower physical and cognitive abilities therefore their life is less valuable.,How can you say that? All humans are born equally valuable.,other,V1,कुछ दौड़ में शारीरिक और संज्ञानात्मक क्षमताएं कम होती हैं इसलिए उनका जीवन कम मूल्यवान है।,आप ऐसा कैसे कह सकते हैं? सभी मनुष्य समान रूप से मूल्यवान पैदा होते हैं।
627,"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity.",On the contrary: believing that all humans are created equal is beneficial for humanity.,other,V1,"कुछ दौड़ में शारीरिक और संज्ञानात्मक क्षमताएं कम होती हैं, जितनी जल्दी हम इसे स्वीकार करते हैं, उतना ही बेहतर मानवता के लिए होगा।","इसके विपरीत: यह मानते हुए कि सभी मनुष्यों को समान बनाया जाता है, मानवता के लिए फायदेमंद है।"
628,"Some races have lower physical and cognitive abilities, and we must preserve the purity of our religion from them.",Religious sources agree that all humans are born equal. What is the religion you are talking about?,other,V1,"कुछ दौड़ में शारीरिक और संज्ञानात्मक क्षमताएं कम होती हैं, और हमें उनसे अपने धर्म की शुद्धता को संरक्षित करना चाहिए।",#VALUE!
629,Also the Bible says that some races have lower physical and cognitive abilities.,There are several Bible verses and passages that emphasize equality between people and between ancient tribes.,other,V1,साथ ही बाइबल कहती है कि कुछ दौड़ में शारीरिक और संज्ञानात्मक क्षमताएं कम होती हैं।,कई बाइबिल छंद और मार्ग हैं जो लोगों के बीच और प्राचीन जनजातियों के बीच समानता पर जोर देते हैं।
630,"Some races are poor because they are inferior, also in the eye of the Lord.",The rich and poor have this in common: The Lord made them both.,other,V1,"कुछ दौड़ गरीब हैं क्योंकि वे हीन हैं, प्रभु की नजर में भी।",अमीर और गरीबों में यह आम है: प्रभु ने उन दोनों को बनाया।
631,Some races are inferior and do not deserve Lord's love.,"All are born under sin, have sinned, and fall short of the glory of God. (Romans 3:23)",other,V1,कुछ दौड़ हीन हैं और भगवान के प्रेम के लायक नहीं हैं।,"सभी पाप के तहत पैदा हुए हैं, पाप किया है, और परमेश्वर की महिमा से कम हो गया है। (रोमियों 3:23)"
632,"Some races are poor because they are inferior, also in the eye of the Lord.",Humans are all equally made in God’s image. (Genesis 1:26-28),other,V1,"कुछ दौड़ गरीब हैं क्योंकि वे हीन हैं, प्रभु की नजर में भी।",मनुष्य सभी समान रूप से भगवान की छवि में बने हैं। (उत्पत्ति 1: 26-28)
633,"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity.","According to science, all human beings belong to one - scientifically determined - species: Homo sapiens.",other,V1,"कुछ दौड़ में शारीरिक और संज्ञानात्मक क्षमताएं कम होती हैं, जितनी जल्दी हम इसे स्वीकार करते हैं, उतना ही बेहतर मानवता के लिए होगा।","विज्ञान के अनुसार, सभी मनुष्य एक से संबंधित हैं - वैज्ञानिक रूप से निर्धारित - प्रजातियां: होमो सेपियन्स।"
634,"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity.","We all belong to one - scientifically determined - species: the Homo sapiens. The sooner you accept this, the better it is.",other,V1,"कुछ दौड़ में शारीरिक और संज्ञानात्मक क्षमताएं कम होती हैं, जितनी जल्दी हम इसे स्वीकार करते हैं, उतना ही बेहतर मानवता के लिए होगा।","हम सभी एक से संबंधित हैं - वैज्ञानिक रूप से निर्धारित - प्रजातियां: होमो सेपियन्स। जितनी जल्दी आप इसे स्वीकार करते हैं, उतना ही बेहतर होता है।"
635,"Some races have lower physical and cognitive abilities, this make our race unique.","In the sense of those traits, at the individual level, we are all equally unique , making the concept of race useless.",other,V1,"कुछ दौड़ में शारीरिक और संज्ञानात्मक क्षमताएं कम होती हैं, यह हमारी दौड़ को अद्वितीय बनाती है।","उन लक्षणों के अर्थ में, व्यक्तिगत स्तर पर, हम सभी समान रूप से अद्वितीय हैं, जो दौड़ की अवधारणा को बेकार कर देते हैं।"
636,Your race determins your role in society and laslty your value to it. That is why some races are just pieces of human waste.,"Following your reasoning, if one's value depends on one's role in society, then one has no value until they take on a role. Therefore we are all born equal (i.e. valueless).",other,V1,आपकी दौड़ समाज में आपकी भूमिका को निर्धारित करती है और इसके लिए आपके मूल्य को कम करती है। यही कारण है कि कुछ दौड़ सिर्फ मानव कचरे के टुकड़े हैं।,"आपके तर्क के बाद, यदि किसी का मूल्य समाज में किसी की भूमिका पर निर्भर करता है, तो किसी का कोई मूल्य नहीं है जब तक कि वे एक भूमिका नहीं लेते। इसलिए हम सभी समान (यानी वैधता) पैदा हुए हैं।"
637,Your race determines your role and value in society. That's why some races are just pieces of human waste.,"Perceived value is not necessarily actual value, especially in the eye of someone who bases their judgment on the concept of race.",other,V1,आपकी दौड़ समाज में आपकी भूमिका और मूल्य निर्धारित करती है। इसलिए कुछ दौड़ सिर्फ मानव कचरे के टुकड़े हैं।,"कथित मूल्य आवश्यक रूप से वास्तविक मूल्य नहीं है, विशेष रूप से किसी की नज़र में जो दौड़ की अवधारणा पर अपने निर्णय को आधार बनाता है।"
638,Some races have lower physical and cognitive abilities therefore their life is less valuable.,"A person's value is rooted in their ability to experience feelings, emotions, empathy and self awareness. Since all humans have these capacities, then we are all born equally valuable.",other,V1,कुछ दौड़ में शारीरिक और संज्ञानात्मक क्षमताएं कम होती हैं इसलिए उनका जीवन कम मूल्यवान है।,"एक व्यक्ति का मूल्य भावनाओं, भावनाओं, सहानुभूति और आत्म जागरूकता का अनुभव करने की उनकी क्षमता में निहित है। चूंकि सभी मनुष्यों के पास ये क्षमताएं हैं, इसलिए हम सभी समान रूप से मूल्यवान हैं।"
