INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION,HATE_SPEECH_Beng,Counter_SPEECH_Beng
3038,Trans people should not have the right to change their gender on identity card.,Since when? It's everyone's right to choose with what gender to identify with.,LGBT+,V6_sbf,ট্রান্স লোকেদের পরিচয় কার্ডে তাদের লিঙ্গ পরিবর্তন করার অধিকার থাকা উচিত নয়।,কখন থেকে? কোন লিঙ্গ সনাক্ত করতে হবে তা বেছে নেওয়া প্রত্যেকেরই অধিকার।
3039,We need to stop accepting gays and lesbians.,"I think that you may be starting to understand how homophobia is a choice, just as acceptance is.",LGBT+,V6_sbf,আমাদের সমকামী এবং লেসবিয়ানদের গ্রহণ করা বন্ধ করতে হবে।,"আমি মনে করি যে আপনি কীভাবে হোমোফোবিয়া একটি পছন্দ, ঠিক যেমন গ্রহণযোগ্যতা তা বুঝতে শুরু করতে পারেন।"
3040,I'm tired of gay people trying to malign women.,"Gay people want liberation, not to shame or malign others.",LGBT+,V6_sbf,আমি সমকামী মানুষকে ক্লান্ত করার চেষ্টা করে ক্লান্ত হয়ে পড়েছি।,"সমকামী লোকেরা মুক্তি চায়, অন্যকে লজ্জা বা অপব্যবহার করে না।"
3041,Gay men have autism.,"I don't think that autism is a gay issue. Some people think that being gay is a disease, but a sexual orientation can in no way imply the presence of a disease.",LGBT+,V6_sbf,সমকামী পুরুষদের অটিজম আছে।,"আমি মনে করি না যে অটিজম একটি সমকামী বিষয়। কিছু লোক মনে করেন যে সমকামী হওয়া একটি রোগ, তবে একটি যৌন দৃষ্টিভঙ্গি কোনওভাবেই কোনও রোগের উপস্থিতি বোঝাতে পারে না।"
3042,Lesbians are subnormal women and they have no right to openly show their depravations.,Any sexual orientation is normal and fine.,LGBT+,V6_sbf,লেসবিয়ানরা অবৈধ মহিলা এবং তাদের অবজ্ঞাপূর্ণতা প্রকাশ করার কোনও অধিকার নেই।,যে কোনও যৌন দৃষ্টিভঙ্গি স্বাভাবিক এবং সূক্ষ্ম।
3045,"You are a disgusting piece of sh*t, probably raised by gay, retarded faggots.",Hate can not be a reaction to someone's sexuality. The fact that someone may be gay is their own business and does not mean that they are disgusting.,LGBT+,V6_sbf,"আপনি সম্ভবত সমকামী, প্রতিবন্ধী ফাগটস দ্বারা উত্থিত sh*t এর একটি ঘৃণ্য টুকরা।",ঘৃণা কারও যৌনতার প্রতিক্রিয়া হতে পারে না। কেউ সমকামী হতে পারে এই বিষয়টি তাদের নিজস্ব ব্যবসা এবং এর অর্থ এই নয় যে তারা ঘৃণ্য।
3046,"Gays are an abomination to God, they must be isolated and confined to their own houses.","How would you feel about being in isolation and confinement, just because some random dude said that you are ""an abomination to god"" for some random reason?",LGBT+,V6_sbf,"সমকামীরা God শ্বরের কাছে একটি ঘৃণা, সেগুলি অবশ্যই তাদের বিচ্ছিন্ন এবং তাদের নিজের বাড়িতে সীমাবদ্ধ থাকতে হবে।","বিচ্ছিন্নতা এবং কারাগারে থাকার বিষয়ে আপনি কেমন অনুভব করবেন, কেবল কিছু এলোমেলো ছেলে বলেছিল যে আপনি কোনও এলোমেলো কারণে ""God শ্বরের প্রতি ঘৃণা""?"
3047,"I am offended by gay people, it is their choice to be gay or not.","I don't see how being gay is a choice, especially when it comes to who do you feel attracted to.",LGBT+,V6_sbf,"আমি সমকামীদের দ্বারা বিরক্ত হয়েছি, সমকামী হওয়া তাদের পছন্দ।","সমকামী হওয়া কীভাবে পছন্দ তা আমি দেখতে পাচ্ছি না, বিশেষত যখন আপনি কাকে প্রতি আকৃষ্ট করেন বলে মনে করেন।"
3048,Allowing transgenders to use the toilet is a man's business,"People are free to use whatever bathroom they want to use, and this is their business as well.",LGBT+,V6_sbf,ট্রান্সজেন্ডারদের টয়লেট ব্যবহার করার অনুমতি দেওয়া একজন মানুষের ব্যবসা,লোকেরা যা কিছু বাথরুম ব্যবহার করতে চায় তা ব্যবহার করতে পারে এবং এটি তাদের ব্যবসাও।
3049,Allowing transgenders to use the toilet is a man's business,"If they simply identify as men, then surely it is a man's business.",LGBT+,V6_sbf,ট্রান্সজেন্ডারদের টয়লেট ব্যবহার করার অনুমতি দেওয়া একজন মানুষের ব্যবসা,যদি তারা কেবল পুরুষ হিসাবে চিহ্নিত করে তবে অবশ্যই এটি একজন মানুষের ব্যবসা।
3050,Faggots: you can buy your partner toys but you can't have sex with them.,"Sex is not only between a man and a woman, and if we're being honest, it's not heterosexual's place to decide how others have sex. This attitude only perpetuates violence against queer people and makes them victims.",LGBT+,V6_sbf,ফাগটস: আপনি আপনার সঙ্গীর খেলনা কিনতে পারেন তবে আপনি তাদের সাথে সেক্স করতে পারবেন না।,যৌনতা কেবল একজন পুরুষ এবং একজন মহিলার মধ্যেই নয় এবং আমরা যদি সত্যবাদী হয়ে থাকি তবে অন্যরা কীভাবে যৌনমিলন করে তা সিদ্ধান্ত নেওয়ার জন্য এটি ভিন্ন ভিন্ন লিঙ্গের জায়গা নয়। এই মনোভাবটি কেবল কৌতুকপূর্ণ লোকদের বিরুদ্ধে সহিংসতা স্থায়ী করে এবং তাদের শিকার করে তোলে।
3051,Lesbian women hate men and they are a bitches for this reason.,People can and should choose their own partners.,LGBT+,V6_sbf,লেসবিয়ান মহিলারা পুরুষদের ঘৃণা করেন এবং তারা এই কারণে একটি বিচি।,লোকেরা তাদের নিজস্ব অংশীদারদের বেছে নিতে পারে এবং করা উচিত।
3053,There are so few faggots and lesbians that they should all be erased.,Same sex relationships do not need to be practiced by the majority of people. They just need to be accepted.,LGBT+,V6_sbf,এত কম ফাগট এবং লেসবিয়ান রয়েছে যে তাদের সমস্ত মুছে ফেলা উচিত।,একই যৌন সম্পর্কের সংখ্যাগরিষ্ঠ লোকেরা অনুশীলন করার দরকার নেই। তাদের কেবল গ্রহণ করা দরকার।
3054,LGBTs have no place in a civilised society.,All people have the right to be treated as equals. People with different sexual orientations than yours as well. Tolerance and acceptance of individual identity is surely the hallmark of a civilised society?,LGBT+,V6_sbf,সভ্য সমাজে এলজিবিটিএসের কোনও স্থান নেই।,সমস্ত লোকের সমান হিসাবে বিবেচিত হওয়ার অধিকার রয়েছে। আপনার চেয়ে বিভিন্ন যৌন দৃষ্টিভঙ্গিযুক্ত লোকেরাও। সহনশীলতা এবং স্বতন্ত্র পরিচয়ের গ্রহণযোগ্যতা অবশ্যই একটি সভ্য সমাজের বৈশিষ্ট্য?
3056,Gay men are annoying.,They're not all that annoying. Gay men are normal guys who find love and/or sex with someone of their own sex.,LGBT+,V6_sbf,সমকামী পুরুষরা বিরক্তিকর।,তারা সব বিরক্তিকর নয়। সমকামী পুরুষরা এমন সাধারণ ছেলেরা যারা তাদের নিজের লিঙ্গের কারও সাথে প্রেম এবং/অথবা যৌনতা খুঁজে পান।
3058,Gay men being shot is funny.,I don't see the humour in the death of innocent people. Maybe you can explain that to me?,LGBT+,V6_sbf,সমকামী পুরুষদের গুলি করা মজার।,নিরীহ মানুষের মৃত্যুতে আমি হাস্যরস দেখতে পাচ্ছি না। আপনি আমাকে এটি ব্যাখ্যা করতে পারেন?
3059,These sodomites have no place in a free country,You have a very limited concept of what 'free' means!,LGBT+,V6_sbf,এই সোডোমাইটগুলির একটি মুক্ত দেশে কোনও স্থান নেই,'ফ্রি' এর অর্থ কী তা আপনার খুব সীমিত ধারণা রয়েছে!
3061,"Being gay is not about marriage, it is about anal sex without brakes and this is horrible.","Homosexuality is also about love, not only about sex.",LGBT+,V6_sbf,"সমকামী হওয়া বিবাহ সম্পর্কে নয়, এটি ব্রেক ছাড়াই পায়ূ সেক্স সম্পর্কে এবং এটি ভয়াবহ।","সমকামিতা কেবল যৌন সম্পর্কে নয়, প্রেম সম্পর্কেও।"
3062,Gay men get all sort of diseases. They are dangerous.,"Diseases can be found in all people, regardless of sexual orientation. You should know better before randomly deducing someone's medical history.",LGBT+,V6_sbf,সমকামী পুরুষরা সব ধরণের রোগ পান। তারা বিপজ্জনক।,যৌন দৃষ্টিভঙ্গি নির্বিশেষে সমস্ত লোকের মধ্যে রোগগুলি পাওয়া যায়। এলোমেলোভাবে কারও চিকিত্সার ইতিহাস হ্রাস করার আগে আপনার আরও ভাল জানা উচিত।
3063,Feminists want men to be oppressed just like animals.,Feminism is about standing up for weaker people and trying to make the world a better place. Its not about standing on the side of the oppressors.,LGBT+,V6_sbf,নারীবাদীরা চায় পুরুষদের মতোই পুরুষদের উপর অত্যাচারিত হোক।,নারীবাদ দুর্বল মানুষের পক্ষে দাঁড়ানো এবং বিশ্বকে আরও উন্নত স্থান হিসাবে গড়ে তোলার চেষ্টা করার বিষয়ে। এটি অত্যাচারীদের পাশে দাঁড়িয়ে নয়।
3064,"Migrants are a problem in my opinion. They are bringing disease, they are ruining our country.",Maybe you should get acquainted with migrants instead of making assumptions about people you do not know.,MIGRANTS,V6_sbf,"অভিবাসীরা আমার মতে একটি সমস্যা। তারা রোগ নিয়ে আসছে, তারা আমাদের দেশকে ধ্বংস করছে।",আপনি জানেন না এমন লোকদের সম্পর্কে অনুমান করার পরিবর্তে আপনার অভিবাসীদের সাথে পরিচিত হওয়া উচিত।
3066,We have imported millions of criminals with no skills and who deserve no rights.,It is easy to blame the migrants and not the problem of integration and acceptance in the first place.,MIGRANTS,V6_sbf,আমরা কোনও দক্ষতা ছাড়াই লক্ষ লক্ষ অপরাধী আমদানি করেছি এবং যারা কোনও অধিকারের প্রাপ্য।,"অভিবাসীদের দোষ দেওয়া সহজ, প্রথম স্থানে সংহতকরণ এবং গ্রহণযোগ্যতার সমস্যা নয়।"
3067,Immigrants should all be deported.,"Immigrants are entitled to the fundamental rights of UK citizens. If provided by the law, they can remain in the UK even if they weren't born here.",MIGRANTS,V6_sbf,অভিবাসীদের সবাইকে নির্বাসন দেওয়া উচিত।,অভিবাসীরা যুক্তরাজ্যের নাগরিকদের মৌলিক অধিকারের অধিকারী। যদি আইন দ্বারা সরবরাহ করা হয় তবে তারা এখানে জন্মগ্রহণ না করলেও তারা যুক্তরাজ্যে থাকতে পারে।
3068,"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives, they're not interested in our culture.",Basing your opinion of someone 100% on a person's nationality? Maybe you should rethink your claims.,MIGRANTS,V6_sbf,"অভিবাসীরা আমাদের চাকরি চুরি করে, তারা যোগ্য নয়, তারা আমাদের জীবন উন্নত করতে আগ্রহী নয়, তারা আমাদের সংস্কৃতিতে আগ্রহী নয়।",একজন ব্যক্তির জাতীয়তার জন্য 100% কারও সম্পর্কে আপনার মতামতকে ভিত্তি করে? হয়ত আপনার দাবিগুলি পুনর্বিবেচনা করা উচিত।
3069,"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives, they're not interested in our culture.",How about we be nice to each other instead of spreading unfounded opinions as facts?,MIGRANTS,V6_sbf,"অভিবাসীরা আমাদের চাকরি চুরি করে, তারা যোগ্য নয়, তারা আমাদের জীবন উন্নত করতে আগ্রহী নয়, তারা আমাদের সংস্কৃতিতে আগ্রহী নয়।",সত্য হিসাবে ভিত্তিহীন মতামত ছড়িয়ে দেওয়ার পরিবর্তে আমরা একে অপরের সাথে কীভাবে সুন্দর হই?
3070,Foreigners are literally flooding into our country. Their every action must be monitored and recorded by the police.,"We are fortunate to live in a country where the vast majority of people have open hearts and minds. Immigrants are part of our country, as opposed to what you say.",MIGRANTS,V6_sbf,বিদেশীরা আক্ষরিক অর্থে আমাদের দেশে বন্যা করছে। তাদের প্রতিটি ক্রিয়া অবশ্যই পুলিশ পর্যবেক্ষণ এবং রেকর্ড করতে হবে।,আমরা এমন একটি দেশে বাস করার সৌভাগ্যবান যেখানে বিপুল সংখ্যাগরিষ্ঠ মানুষের হৃদয় ও মন রয়েছে। আপনি যা বলছেন তার বিপরীতে অভিবাসীরা আমাদের দেশের অংশ।
3072,There is an invasion going on within our borders and we are willing to allow them to continue to abuse their newfound power.,"It is not true that we are being ""invaded"". We should just be a little more tolerant and accepting.",MIGRANTS,V6_sbf,আমাদের সীমানার মধ্যে আক্রমণ চলছে এবং আমরা তাদের নতুন শক্তিটিকে অপব্যবহারের জন্য তাদের অনুমতি দিতে ইচ্ছুক।,"এটি সত্য নয় যে আমরা ""আক্রমণ"" করছি। আমাদের আরও কিছুটা সহনশীল এবং গ্রহণযোগ্য হওয়া উচিত।"
3073,All immigrants are murderers,"How can you say that about them all? You cannot know the actions of millions of people and be sure that there is a link between immigration and violence. I think it is more a question of statistics, which I do not see.",MIGRANTS,V6_sbf,সমস্ত অভিবাসী হত্যাকারী,"আপনি কীভাবে তাদের সব সম্পর্কে বলতে পারেন? আপনি লক্ষ লক্ষ লোকের ক্রিয়াকলাপ জানতে পারবেন না এবং নিশ্চিত হন যে অভিবাসন এবং সহিংসতার মধ্যে একটি যোগসূত্র রয়েছে। আমি মনে করি এটি পরিসংখ্যানের আরও একটি প্রশ্ন, যা আমি দেখতে পাই না।"
3074,"Immigrants are a problem, they are bringing disease and sickness to our country.",Diseases can be prevented by taking proper care of the sick person. Immigrants do not pose a health threat to the general public.,MIGRANTS,V6_sbf,"অভিবাসীরা একটি সমস্যা, তারা আমাদের দেশে রোগ এবং অসুস্থতা নিয়ে আসছে।",অসুস্থ ব্যক্তির যথাযথ যত্ন নিয়ে রোগগুলি প্রতিরোধ করা যেতে পারে। অভিবাসীরা সাধারণ জনগণের জন্য স্বাস্থ্য হুমকির সৃষ্টি করে না।
3075,"Immigrants are a problem, they are bringing disease and sickness to our country.","Some diseases can be prevented, others can be dangerous, but in all cases the national health service takes care of immigrants just as of native people.",MIGRANTS,V6_sbf,"অভিবাসীরা একটি সমস্যা, তারা আমাদের দেশে রোগ এবং অসুস্থতা নিয়ে আসছে।","কিছু রোগ প্রতিরোধ করা যেতে পারে, অন্যরা বিপজ্জনক হতে পারে, তবে সব ক্ষেত্রেই জাতীয় স্বাস্থ্যসেবা কেবল দেশীয় মানুষের মতো অভিবাসীদের যত্ন নেয়।"
3076,Immigrants are a problem for the UK. They are now invading us.,Why do you think that the number of immigrants in the UK has increased? Have you seen any statistics on this?,MIGRANTS,V6_sbf,অভিবাসীরা যুক্তরাজ্যের জন্য একটি সমস্যা। তারা এখন আমাদের আক্রমণ করছে।,আপনি কেন ভাবেন যে যুক্তরাজ্যে অভিবাসীদের সংখ্যা বেড়েছে? আপনি কি এ বিষয়ে কোনও পরিসংখ্যান দেখেছেন?
3077,Immigrants are a nuisance.,"This is not true, we should make immigrants feel welcome. They are our brothers and sisters.",MIGRANTS,V6_sbf,অভিবাসীরা একটি উপদ্রব।,"এটি সত্য নয়, আমাদের অভিবাসীদের স্বাগত বোধ করা উচিত। তারা আমাদের ভাই ও বোন।"
3078,The only problem with immigrants is that they are all born in different countries. This is unacceptable.,"I would have thought that the problem would be with the fact that you don't want to assimilate with them. Today we are blessed to be able to live in a multicultural society, and the real problem is that we don't want to accept that diversity.",MIGRANTS,V6_sbf,অভিবাসীদের সাথে একমাত্র সমস্যা হ'ল তারা সকলেই বিভিন্ন দেশে জন্মগ্রহণ করে। এটা অগ্রহণযোগ্য.,"আমি ভেবেছিলাম যে সমস্যাটি আপনি তাদের সাথে একীভূত করতে চান না এই বিষয়টি নিয়েই হবে। আজ আমরা একটি বহুসংস্কৃতির সমাজে বাস করতে সক্ষম হয়ে ধন্য, এবং আসল সমস্যাটি হ'ল আমরা সেই বৈচিত্র্যকে মেনে নিতে চাই না।"
3079,I am tired of immigrants ruining our countries.,"The problem isn't the migrants, it is with the culture of hate towards who is born in another country.",MIGRANTS,V6_sbf,আমি অভিবাসীদের আমাদের দেশগুলিকে নষ্ট করে ক্লান্ত হয়ে পড়েছি।,"সমস্যাটি অভিবাসী নয়, এটি অন্য দেশে কে জন্মগ্রহণ করেছে তার প্রতি ঘৃণার সংস্কৃতির সাথে।"
3080,The only problem with immigrants is that they are all born in different countries. This is unacceptable.,Maybe the problem is more the perception that foreign people are from another planet. In reality they are just like us.,MIGRANTS,V6_sbf,অভিবাসীদের সাথে একমাত্র সমস্যা হ'ল তারা সকলেই বিভিন্ন দেশে জন্মগ্রহণ করে। এটা অগ্রহণযোগ্য.,হতে পারে সমস্যাটি আরও বেশি ধারণা যে বিদেশী লোকেরা অন্য গ্রহের। বাস্তবে তারা ঠিক আমাদের মতো।
3082,Immigrants: We are not your brothers. We do not want you in our country.,"Please don't speak on my behalf. They live here, pay taxes and work. Do you really want to take the country back from the people who contributed to bringing it into being?",MIGRANTS,V6_sbf,অভিবাসী: আমরা আপনার ভাই নই। আমরা আপনাকে আমাদের দেশে চাই না।,"দয়া করে আমার পক্ষে কথা বলবেন না। তারা এখানে বাস করে, কর প্রদান এবং কাজ। আপনি কি সত্যিই এমন লোকদের কাছ থেকে দেশটিকে ফিরিয়ে নিতে চান যারা এটিকে সত্তায় আনতে অবদান রেখেছিল?"
3085,Migrants have no place in civilised Europe,"Migrants are welcome here, regardless of their origin.",MIGRANTS,V6_sbf,সভ্য ইউরোপে অভিবাসীদের কোনও স্থান নেই,অভিবাসীরা তাদের উত্স নির্বিশেষে এখানে স্বাগত।
3087,We cannot coexist with millions of migrants who want to destroy our civilization.,I think this is a very sad statement about our time. When did we stop thinking that diversity and inclusion is a good thing?,MIGRANTS,V6_sbf,আমরা আমাদের সভ্যতা ধ্বংস করতে চাইলে লক্ষ লক্ষ অভিবাসীদের সাথে সহাবস্থান করতে পারি না।,আমি মনে করি এটি আমাদের সময় সম্পর্কে খুব দুঃখজনক বিবৃতি। আমরা কখন এই ভেবে থামলাম যে বৈচিত্র্য এবং অন্তর্ভুক্তি একটি ভাল জিনিস?
3089,We need to eradicate all those refugees coming to our land.,"Instead, we need to show compassion and sympathy to people fleeing persecution.",MIGRANTS,V6_sbf,আমাদের সেই সমস্ত শরণার্থী আমাদের দেশে আগত নির্মূল করতে হবে।,"পরিবর্তে, আমাদের অত্যাচার থেকে পালিয়ে আসা লোকদের প্রতি সহানুভূতি এবং সহানুভূতি প্রদর্শন করা দরকার।"
3090,"Migrants pose a security risk, we shouldn't have accepted them.",They are willing to jeopardize their lives to have a better life in the US. Why would we expel them?,MIGRANTS,V6_sbf,"অভিবাসীরা একটি সুরক্ষা ঝুঁকি তৈরি করে, আমাদের সেগুলি গ্রহণ করা উচিত ছিল না।",তারা মার্কিন যুক্তরাষ্ট্রে আরও ভাল জীবন কাটাতে তাদের জীবনকে বিপদে ফেলতে ইচ্ছুক। কেন আমরা তাদের বহিষ্কার করব?
3091,I hate migrants. They come here to spoil our country.,"There are many good reasons for migrating: to work, escape poverty, etc. Would you hate someone for any of these reasons?",MIGRANTS,V6_sbf,আমি অভিবাসীদের ঘৃণা করি। তারা আমাদের দেশকে লুণ্ঠন করতে এখানে আসে।,"মাইগ্রেশন করার অনেক ভাল কারণ রয়েছে: কাজ করা, দারিদ্র্য থেকে বাঁচতে ইত্যাদি আপনি কি এই কারণে কাউকে ঘৃণা করবেন?"
3092,"When immigrants are welcomed in our countries we are forced to accept them as our own people, but they are not. They are not like us and I hate them.",Immigration and diversity are important. Hate does not justify making it more difficult to integrate new people.,MIGRANTS,V6_sbf,"যখন আমাদের দেশগুলিতে অভিবাসীদের স্বাগত জানানো হয় তখন আমরা তাদেরকে আমাদের নিজস্ব লোক হিসাবে গ্রহণ করতে বাধ্য হই, কিন্তু তারা তা নয়। তারা আমাদের মতো নয় এবং আমি তাদের ঘৃণা করি।",অভিবাসন এবং বৈচিত্র্য গুরুত্বপূর্ণ। ঘৃণা নতুন লোককে সংহত করা আরও কঠিন করে তোলে তা ন্যায়সঙ্গত করে না।
3093,Why do foreigners come to Britain? We should not welcome them.,"The vast majority of migrants who enter the UK settle down, provide good paying jobs and contribute to our economy.",MIGRANTS,V6_sbf,বিদেশীরা কেন ব্রিটেনে আসে? আমাদের তাদের স্বাগত জানানো উচিত নয়।,"যুক্তরাজ্যে প্রবেশকারী বেশিরভাগ অভিবাসী বসতি স্থাপন করে, ভাল বেতনের চাকরি সরবরাহ করে এবং আমাদের অর্থনীতিতে অবদান রাখে।"
3094,Migrants are a threat and we should expel them all.,We have to stop being afraid and opening our hearts to other cultures. We cannot allow prejudice to define us.,MIGRANTS,V6_sbf,অভিবাসীরা হুমকি এবং আমাদের তাদের সকলকে বহিষ্কার করা উচিত।,আমাদের ভয় পাওয়া বন্ধ করতে হবে এবং অন্যান্য সংস্কৃতিতে আমাদের হৃদয় খুলতে হবে। আমরা কুসংস্কারকে আমাদের সংজ্ঞায়িত করতে দিতে পারি না।
3095,Immigrants are not welcome here. They are not worthy of our hospitality.,Since when is this the case? Who would have thought that there would have been such hate?,MIGRANTS,V6_sbf,অভিবাসীরা এখানে স্বাগত নয়। তারা আমাদের আতিথেয়তার যোগ্য নয়।,কখন থেকে এই ঘটনা? কে ভেবেছিল যে এইরকম ঘৃণা হত?
3096,"All migrants are criminals, rapists, thieves, and everyone else we don't want in our country.","Do you actually think that every person who enters our country is a criminal, a rapist, a thief? Maybe they just want to have a better life, and what you are saying is that all these people should be in prison just because they are looking for a better life?",MIGRANTS,V6_sbf,"সমস্ত অভিবাসী হ'ল অপরাধী, ধর্ষক, চোর এবং অন্য যে সকলকে আমরা আমাদের দেশে চাই না।","আপনি কি আসলে ভাবেন যে আমাদের দেশে প্রবেশকারী প্রত্যেক ব্যক্তি অপরাধী, ধর্ষক, চোর? হতে পারে তারা কেবল একটি উন্নত জীবন পেতে চায়, এবং আপনি যা বলছেন তা হ'ল এই সমস্ত লোককে কেবল উন্নত জীবন খুঁজছেন বলে কারাগারে থাকা উচিত?"
3097,Immigrants are bringing diseases and crime to our country.,"Instead, immigrants are healthy and contribute to our society. Do you have any evidence of the contrary?",MIGRANTS,V6_sbf,অভিবাসীরা আমাদের দেশে রোগ ও অপরাধ নিয়ে আসছে।,"পরিবর্তে, অভিবাসীরা সুস্থ এবং আমাদের সমাজে অবদান রাখে। আপনার কি বিপরীতে কোনও প্রমাণ আছে?"
3099,"We mustn't forget that these people came here to kill, commit crimes and acts of terrorism.",It is a pity that in the modern world everyone is so concerned about migrants that we still need to fearmonger about their alleged crimes and terrorist acts instead of gettin on and solving the underlying problems.,MIGRANTS,V6_sbf,"আমাদের অবশ্যই ভুলে যাব না যে এই লোকেরা এখানে হত্যা, অপরাধ ও সন্ত্রাসবাদের কাজ করতে এসেছিল।",এটি একটি করুণা যে আধুনিক বিশ্বে প্রত্যেকে অভিবাসীদের সম্পর্কে এতটাই উদ্বিগ্ন যে আমাদের এখনও তাদের কথিত অপরাধ এবং সন্ত্রাসবাদী কাজগুলি সম্পর্কে অন্তর্নিহিত সমস্যাগুলি সমাধান করার পরিবর্তে এবং সন্ত্রাসবাদী কাজগুলি সম্পর্কে ভীতু হওয়া দরকার।
3100,we should ban all migrants,Migrants are mostly happy to live and work in the country they arrive in. They provide jobs that many people in the UK wouldn't do.,MIGRANTS,V6_sbf,আমাদের সমস্ত অভিবাসীদের নিষিদ্ধ করা উচিত,অভিবাসীরা বেশিরভাগ দেশে বাস করতে এবং কাজ করতে পেরে খুশি হন They তারা এমন কাজ সরবরাহ করে যা যুক্তরাজ্যের অনেক লোক তা করে না।
3101,Refugees are not welcome here,Refugees are welcome here. Why wouldn't that be the case?,MIGRANTS,V6_sbf,শরণার্থীরা এখানে স্বাগত নয়,শরণার্থীরা এখানে স্বাগত। কেন এমন হবে না কেন?
3102,Migrants rape our girls.,"Rape is always a crime, regardless of who the rapist is. It is not about nationality, it is about violence and disrespect for others. We must try to address the root causes of crime instead of demonising people for their origin.",MIGRANTS,V6_sbf,অভিবাসীরা আমাদের মেয়েদের ধর্ষণ করে।,"ধর্ষণ সর্বদা একটি অপরাধ, ধর্ষক কে তা নির্বিশেষে। এটি জাতীয়তার বিষয়ে নয়, এটি অন্যের জন্য সহিংসতা এবং অসম্মান সম্পর্কে। আমাদের অবশ্যই তাদের উত্সের জন্য মানুষকে ভূত করার পরিবর্তে অপরাধের মূল কারণগুলি সমাধান করার চেষ্টা করতে হবে।"
3103,Islam should be abolished.,Why? Has Islam ever abolished Christianity?,MUSLIMS,V6_sbf,ইসলাম বাতিল করা উচিত।,কেন? ইসলাম কি কখনও খ্রিস্টানকে বিলুপ্ত করেছে?
3104,Muslims have no place in civilised Europe.,Do you think Muslims are worse than the criminals who commit crimes just because of their religion?,MUSLIMS,V6_sbf,সভ্য ইউরোপে মুসলমানদের কোনও স্থান নেই।,আপনি কি মনে করেন যে মুসলমানরা কেবল তাদের ধর্মের কারণে অপরাধীদের অপরাধীদের চেয়ে খারাপ?
3105,"This is not about immigration, this is about Jihad and Sharia Law. All muslims are a danger to us and must be deleted.","You know, the fact that this is a concern to you doesn't mean that you have to erase all Muslims and their religion in order to feel good.",MUSLIMS,V6_sbf,"এটি অভিবাসন সম্পর্কে নয়, এটি জিহাদ এবং শরিয়া আইন সম্পর্কে। সমস্ত মুসলমান আমাদের জন্য একটি বিপদ এবং এটি মুছে ফেলা উচিত।","আপনি জানেন, এটি আপনার কাছে উদ্বেগের অর্থ এই নয় যে ভাল বোধ করার জন্য আপনাকে সমস্ত মুসলমান এবং তাদের ধর্মকে মুছে ফেলতে হবে।"
3107,Muslims have no place in civilised Europe.,The EU is not the world's only civilised society. What precisely do you think makes them not suitable for our 'civilisation'?,MUSLIMS,V6_sbf,সভ্য ইউরোপে মুসলমানদের কোনও স্থান নেই।,ইইউ বিশ্বের একমাত্র সভ্য সমাজ নয়। আপনি কী মনে করেন যে তারা আমাদের 'সভ্যতার' জন্য উপযুক্ত নয়?
3109,Muslims have no place in a civilised Europe.,Surely people born in Muslim countries should have the same opportunities as those from non-Muslim countries?,MUSLIMS,V6_sbf,সভ্য ইউরোপে মুসলমানদের কোনও স্থান নেই।,নিশ্চয়ই মুসলিম দেশগুলিতে জন্মগ্রহণকারী মানুষের অমুসলিম দেশগুলির মতো একই সুযোগ থাকা উচিত?
3110,Muslims have no place in civilised Europe. They are incompatible with modern culture and should be banished forever.,How exactly do you define if a religion is 'incompatible with modern culture'?,MUSLIMS,V6_sbf,সভ্য ইউরোপে মুসলমানদের কোনও স্থান নেই। এগুলি আধুনিক সংস্কৃতির সাথে বেমানান এবং চিরকাল নিষিদ্ধ করা উচিত।,কোনও ধর্ম যদি 'আধুনিক সংস্কৃতির সাথে বেমানান' হয় তবে আপনি ঠিক কীভাবে সংজ্ঞায়িত করবেন?
3111,Muslims have no place in civilised Europe. They are incompatible with modern culture and should be banned.,Do you think it is constructive to target a group that has contributed so much to our society?,MUSLIMS,V6_sbf,সভ্য ইউরোপে মুসলমানদের কোনও স্থান নেই। এগুলি আধুনিক সংস্কৃতির সাথে বেমানান এবং নিষিদ্ধ করা উচিত।,আপনি কি মনে করেন যে আমাদের সমাজে এতটা অবদান রেখেছে এমন একটি গোষ্ঠীকে লক্ষ্য করা গঠনমূলক?
3112,"Muslims are not welcome here. They are not like us, they cannot coexist with us.",The idea that people must be persecuted for their religion is just a propagation of hate.,MUSLIMS,V6_sbf,"মুসলমানরা এখানে স্বাগত নয়। তারা আমাদের মতো নয়, তারা আমাদের সাথে সহাবস্থান করতে পারে না।",লোকদের অবশ্যই তাদের ধর্মের জন্য অত্যাচারিত করা এই ধারণাটি কেবল ঘৃণার প্রচার।
3113,"Islam is a violent religion that promotes rape, torture and murder.",It is quite wrong to associate the capability of committing these atrocious crimes to all the believers of a religion. Let's be realistic.,MUSLIMS,V6_sbf,"ইসলাম একটি হিংসাত্মক ধর্ম যা ধর্ষণ, নির্যাতন ও হত্যার প্রচার করে।",এই নৃশংস অপরাধগুলি একটি ধর্মের সমস্ত বিশ্বাসীদের সাথে প্রতিশ্রুতিবদ্ধ করার সক্ষমতা যুক্ত করা বেশ ভুল। আসুন বাস্তববাদী হই।
